question,answer
范廷颂是什么时候被任为主教的？,1963年
1990年，范廷颂担任什么职务？,1990年被擢升为天主教河内总教区宗座署理
范廷颂是于何时何地出生的？,范廷颂于1919年6月15日在越南宁平省天主教发艳教区出生
1994年3月，范廷颂担任什么职务？,1994年3月23日，范廷颂被教宗若望保禄二世擢升为天主教河内总教区总主教并兼天主教谅山教区宗座署理
范廷颂是何时去世的？,范廷颂于2009年2月22日清晨在河内离世
安雅·罗素法参加了什么比赛获得了亚军？,《全美超级模特儿新秀大赛》第十季
Russell Tanoue对安雅·罗素法的评价是什么？,有前途的新面孔
安雅·罗素法合作过的香港杂志有哪些？,《Jet》、《东方日报》、《Elle》等
毕业后的安雅·罗素法职业是什么？,售货员
岬太郎在第一次南葛市生活时的搭档是谁？,大空翼
日本队夺得世青冠军，岬太郎发挥了什么作用？,在决赛周只在决赛的下半场十五分钟开始上场，成为日本队夺得世青冠军的其中一名功臣。
岬太郎与谁一起组成了「3M」组合？,他与松山光、三杉淳组成了「3M」组合（松山光Hikaru Matsuyama、岬太郎Taro Misaki、三杉淳Jyun Misugi）。
NGC 6231的经纬度是多少？,赤经16时54分，赤纬-41度48分
NGC 6231的年龄是多少？,约为三百二十万年
NGC 6231星团内最亮的星是哪颗星？,星团内的最亮星是5等的天蝎座 ζ1星
NGC 6231被首次记录在星表中的名字是什么？,Luminosae
NGC 6231分别被谁独立发现过？,这个天体在1678年被爱德蒙·哈雷（I.7）、1745年被夏西亚科斯（Jean-Phillippe Loys de Cheseaux）（9）、1751年被尼可拉·路易·拉卡伊（II.13）分别再次独立发现。
国际初中科学奥林匹克的参赛对象是谁？,15岁或以下的学生
次比赛最早什么时候开始举办？,2004年
试验系考试科目有哪些？,物理、化学与生物学
实验系考试最多可以几人一组？,实验系考试必须以最多三人分成一小组进行，即每一个参赛单位可以分成最多两个小组。
从第一届到第四届，实验系考试的题数发生了什么变化？,从第一届至第三届，实验系考试只有一题；而在第四届，实验系考试就分成四题。
江苏路街道在上海市的什么地方？,长宁区
